Ejemplo;Modismo;Definición Real;Sinónimo;Definición Sinónimo;Acorde;Def. real; ;;
Además de tapa de gaseosa, la checa tiene entre nosotros múltiples usos, como: servir de bola de béisbol para jugar chequita en plena calle, con un palo de escoba viejo.;checa;Pieza que cierra herméticamente las botellas, especialmente las de cerveza y gaseosa.;tapa;pieza que cierra o cubre la boca de una botella;1;1;;;
Iba a hacer el café y despacio revisaba el email en la cama, las noticias de Colombia, los periódicos internacionales y pisteaba en qué andaban mis hijos en Facebook.;pistear;Vigilar a alguien sin ser visto.;espiar;Observar discretamente sin ser detectado.;1;1;;;
Los enlatados norteamericanos trajeron el estilo de vida y las tradiciones propias de Estados Unidos que los escritores y creativos querían mostrar al resto del mundo.;enlatado;Programa de televisión importado y de baja calidad.;americano;Originario de Estados Unidos.;0;1;;;
llegó el algo. llegaron las cucas, el churro, los buñuelos;el algo;refrigerio;la merienda;comida ligera para comer entre el almuerzo y la cena;1;1;;;
Recuerda también el maestro de música que había un acordeonero que era bronquinoso con el acordeón y que tan pronto supo que tenía contrincante se presentó para desafiarlo;bronquinoso;Referido a una persona, que es conflictiva e incita a la pelea por causas leves.;buscapleitos;persona que provoca peleas o busca confrontaciones;1;1;;;
Los fines de semana se va a jugar fútbol con sus amigos y cierra la tarde con ellos levantando el codo en las tiendas del barrio.;codo;Beber alcohol.;tomando trago;Compartir bebidas alcohólicas con amigos en un lugar informal;1;0;;;
Su plato típico es el viudo de pescado, principalmente en los pueblos de las riberas del Magdalena.;viudo;Plato típico con pescado de río acompañado de yuca, plátano verde, papa, arracacha y mazorca con guiso por encima.;viuda de pescado;guiso tradicional de pescado con yuca, plátano y tubérculos cocidos juntos;1;1;;;
no venga usted con marramucias para que firme el contrato;marramucia;engaño, ardid, treta;trampa;maniobra deshonesta para obtener ventaja;1;1;;;
Se mantenía convocando a los parceleros, siempre remisos porque consideraban iluso el proyecto de vender su guineo a las grandes comercializadoras.;guineo;Tipo de plátano de forma alargada y curva, de cáscara amarilla y pulpa blanda y amarillenta que se come crudo.;banano;Fruto comestible de la planta del banano, consumido crudo cuando maduro.;1;1;;;
Sin duda, la mano derecha del finquero es su agregado, de quien depende en muy buena parte la producción, la productividad y la renta que genere la finca.;agregado;Persona que habita y trabaja en una propiedad rural ajena y que obtiene como ganancia parte de lo producido.;mayordomo;Persona que administra y vigila una propiedad rural.;0;1;;;
Al día siguiente uno de los nuestros estaba mariscando en el Tebiare cuando un güío lo abrazó y lo mató , recuerda el sikuani Víctor Sandoval.;mariscar;Cazar animales silvestres, especialmente pequeños mamíferos y aves que habitan en las orillas de ríos y morichales.;cazar;Buscar y matar animales silvestres para alimento;1;1;;;
¿Unas ligeras ardencias en la parte central del estómago o en los lados de él, pueden significar algún caso de gastritis?;ardencia;Sensación de ardor que se presenta desde el estómago hasta la faringe o en alguna herida.;quemazón;Sensación ardiente o irritación en el estómago.;1;0;;;
"Soy radioperadora desde hace muchos años, y como dice un compañero mío, hoy en día algunos son ""operadores multimedia"" antes que ""operadores de radio"".";radioperador;Persona que trabaja en el manejo de aparatos de radiotelefonía para el control técnico de las empresas.;operador de radio;Persona que maneja equipos de transmisión radial.;1;1;;;
El nativo y el colono se sienten, orgullosos de hacerte crecer, pues no en vano unieron su sangre y al cabuco un día vieron nacer.;cabuco;Referido a una persona, hijo de un indígena y de un blanco.;mestizo;Persona de mezcla racial indígena y blanca.;1;1;;;
Armado de sombrero vueltiao, una guayabera y abarcas tres puntás, es quizás el cuentero más reconocido de la región.;cuentero;Persona que practica el arte de narrar cuentos o historias.;narrador;Persona que cuenta historias o relatos en público;1;1;;;
"No le hace, más que se haga; ¿yo había de salir a caballo en esa ranga para que se rieran los cachacos? Eso sí que no, papá. Que le presten el caballo a Pelegrín.";ranga;Caballo flaco y débil.;caballo flaco;caballo débil y en mal estado;1;1;;;
Bailar es de las pocas oportunidades públicas que existen para acercarse a alguien sin ser sancionado. ¡Que viva el amacice!;amacice;Abrazo en el que una persona estrecha intensamente a otra al bailar.;baile pegado;Danzar muy cerca de la pareja en contacto íntimo.;1;1;;;
Me encontré con la comadre y güeregüere toda la tarde viendo la novela.;güeregüere;Parloteo inútil.;charlé;Conversación prolongada e informal.;1;1;;;
Ganaron de arepazo, en el último minuto hicieron el gol.;arepazo;Logro que se obtiene de manera fortuita.;gol de último minuto;victoria conseguida con una anotación decisiva en el final;0;1;;;
El gremio de los coteros, lucha día a día por mantener un estilo de vida, llevando consigo necesidades, adversidades y muchísimos factores que influyen en que sean personas de carácter duro.;cotero;Hombre que se dedica a alzar y llevar de un lado a otro cargas muy pesadas como bultos.;cargador;Persona que trabaja moviendo y transportando objetos pesados;1;1;;;
Entregan créditos al sector yuquero.;yuquero;Relacionado con la yuca o su cultivo.;cultivador de yuca;Persona que cultiva o comercia con yuca.;1;1;;;
El proceso estaba archivado hasta hace poco, pero con mi molestadera creo que nuevamente lo reabrieron.;molestadera;Molestia continua que alguien produce.;insistencia;Acción persistente de presionar o insistir hasta lograr algo.;0;1;;;
Montada en la estrecha curiara remaba alternativamente de un lado y del otro y se mantenía recta en la canoa.;curiara;Canoa pequeña y angosta que se fabrica de un solo tronco de árbol que se ahueca con el hacha y con fuego.;canoa;Embarcación estrecha y alargada hecha ahuecando un tronco para navegar.;1;1;;;
La cabeza reducida del profesor, con su sombrerito, su pipa y sus gafas, era toda una cuquera.;cuquera;Persona o cosa pequeña, bonita y tierna.;figurita;Objeto o figura pequeña y curiosa que llama la atención;1;1;;;
aguáitame un poco;aguaitar;esperar a alguien;espérame un momento;Pedir que alguien espere brevemente;1;1;;;
Carretel de hilo.;carretel;Cilindro pequeño generalmente hueco en su eje, con bordes sobresalientes en sus bases, en el que se enrolla o devana una hebra larga y delgada de un material flexible.;carrete;Cilindro con rebordes para enrollar hilo de coser.;1;1;;;
pedro es muy plebe;plebe;ordinario, soez;vulgar;Comportamiento o estilo poco refinado y ordinario;1;1;;;
esos son puras cuítivas;cuítiva;mentira, embuste, patraña;falsos;personas poco sinceras o que aparentan más de lo que son;0;1;;;
tiene una espuela de esas incurables;espuela;calcañar con callo o con alguna infección purulenta;mucha experiencia;gran conocimiento o habilidad adquirida en alguna materia;0;1;;;
si l'imagen del diablo hiciera daños, no la tenería mi amo el señor cura, tan patente y tan azarosa, en la urna del arcángel san miguel;azaroso;que causa miedo, que tiene apariencia de peligroso;temible;Que provoca temor o miedo.;1;1;;;
El fincho, y como todos los buenos finchos, comenzó el viernes con unas cuantas cervezas.;fincho;Fin de semana.;fin de semana;periodo de descanso que empieza el viernes y continúa sábado y domingo;1;1;;;
"Los destrozos de nuestros ""hinchas"" en la Arenosa fueron grandes y los ""chontearon"" como ellos mismos dicen.";chontear;Intimidar y perseguir a alguien, amedrentar.;castigaron;Impusieron un castigo o sanción por mala conducta.;0;1;;;
Cada uno muy distinto al otro: el primero gordiflón y de melena hasta la cintura. El segundo bajito cariancho y dientón.;dientón;Referido a una persona, que tiene dientes muy grandes.;dentudo;Persona con dientes grandes y prominentes.;1;1;;;
Ana está trabajando de concertada en la finca de Los Almendros.;concertada;Empleada del servicio doméstico.;asalariada;Trabajadora contratada con salario fijo.;0;1;;;
De lejos la veo llegando al mostrador, conversando sonriente dejando sus tres maletas y recibiendo su pasabordo.;pasabordo;Documento que le entrega la aerolínea al pasajero como requisito para subir al avión.;tarjeta de embarque;Documento impreso o digital que autoriza el acceso al avión y contiene datos del vuelo;1;1;;;
en córdoba, guapirrear es la máxima expresión de la felicidad;guapirrear;aguijonear con gritos o excitar;gritar de alegría;Emitir alaridos o sonidos guturales fuertes por gozo o entusiasmo.;1;1;;;
Cuando se escuchó una explosión, todo el mundo salió chontiado porque creyó que la pólvora se había estallado antes de la celebración.;chontiado;Salir rápidamente de alguna parte.;corriendo asustado;Acto de huir velozmente por pánico repentino;1;1;;;
Rascarse es la mejor forma de acabar con esa desesperante sensación de piquiña.;piquiña;Comezón.;comezón;Irritación cutánea que provoca ganas de rascarse.;1;1;;;
aquel ¡tun! ¡tun! perpetuo de [ .] rateros atisbones [ .] son para coger el monte;atisbón;fisgón, atisbador;fisgoneo;mirar o curiosear con intención de vigilar o husmear;1;1;;;
Cambiarán sus juegos […] por las divertidas actividades en el pasamos, el rodadero y el sube y baja gracias al nuevo parque infantil en zona rural del municipio de Orito.;sube y baja;Juego de parques infantiles que consiste en una barra sujeta al suelo por un eje central, que permite subir y bajar alternativamente a quienes se sitúan en cada extremo para balancearse.;columpio;Juego infantil con asiento suspendido que oscila hacia arriba y abajo.;0;1;;;
Las verrugosas son las únicas víboras de Colombia que ponen huevos. El resto, anota el experto, tienen a sus crías en la barriga.;verrugosa;Serpiente venenosa de hasta 3,6 m de longitud, dorso con escamas bien marcadas, de color café con manchas negras y rosado obscuro y cola que termina en punta fina.;víbora verrugosa;Especie de serpiente ovípara con protuberancias cutáneas en Colombia.;1;1;;;
Las frutas dulces pueden mezclarse entre sí, exceptuando la patilla, que debe consumirse sola.;patilla;Fruto de esta planta, de color verde por fuera y rojo por dentro, y pulpa muy jugosa y dulce.;sandía;Fruta grande y jugosa que se suele comer por separado;1;1;;;
Era una noche muy oscura, pero un minacuro llegó para alumbrarnos.;minacuro;Nombre de varios tipos de escarabajo volador, de diferentes características según la especie, pero siempre de cuerpo oblongo de hasta 3 cm de longitud, color café claro y con un par de manchas luminiscentes en el tórax o el abdomen.;luciérnaga;Insecto volador que emite luz en la oscuridad;0;1;;;
Regoniticos los mensajes que me escribiste. Debería salir corriendo y darte un beso.;regonitico;Muy bonito.;lindos;Bonitos y encantadores.;1;1;;;
colombiano es el que alguna vez ha hecho un catorce;catorce;favor que se le hace a alguien;favor;Acción de ayudar a alguien desinteresadamente;1;1;;;
No jugamos con ella dominó porque es muy cañera.;cañero;Referido a una persona, que dice mentiras o engaña.;tramposa;Tiene tendencia a engañar en los juegos;1;1;;;
Gracias a la calidad y al prestigio de este grupo, se taqueó el Club Campestre de La Jagua de Ibirico.;taquear;Llenar, atiborrar un recipiente o un espacio.;llenar;ocupar completamente un lugar con público;1;0;;;
Sólo se permite el uso de hebillas, moños, bambas de color azul oscuro, rojo o blanco.;bamba;Caucho recubierto de tela que se usa para sujetar el pelo en una cola.;coleta;Lazo circular forrado en tela para sujetar el pelo en cola.;1;1;;;
Las fibras obtenidas de la majagua son utilizadas por los pobladores de San Basilio para la fabricación de mochilas para el transporte y cuerdas.;majagua;Árbol de hasta 20 m de altura, de copa extendida y frondoso que se cultiva en climas cálidos, cuya madera y fibra vegetal se usan para la industria textil.;árbol de majagua;árbol cuyas fibras vegetales sirven para fabricar cuerdas y tejidos;1;1;;;
Nunca me cayó bien. En el Liceo Santa Librada era un mañoso. Una vez planeó él solo el robo del examen final de Física.;mañoso;Referido a una persona, que tiene vicios y malas costumbres.;tramposo;Persona que engaña o usa artimañas para obtener ventaja;0;1;;;
Una de las actividades que se practican en las modalidades de carambola libre, tres bandas y pool, es la de tacar con cualquier bola y en cualquier dirección.;tacar;En billar, golpear la bola con el taco.;golpear;Dar un golpe a la bola con el taco;1;0;;;
mecateas mucho cuando ves televisión;mecatear;comer golosinas entre comidas;picar;comer snacks entre comidas principales;1;0;;;
diego es hombre de cañaña;cañaña;fuerza, energía, valor;hombre de temple;persona con fuerza, valentía y carácter firme;1;1;;;
Emprendía camino, ya a pie o a caballo llevando sus dos o tres 'coscojitos' a la santa misa.;coscojo;Hijo o hija de una persona.;bolsita de cáñamo;pequeño saco donde se guardan objetos personales o alimentos;0;1;;;
19 coroneles de la Policía Nacional fueron llamados a calificar servicios.;servicio;En el ejército, destituir a un militar del servicio activo por irregularidades en su desempeño.;servicio militar;período obligatorio de entrenamiento en la Policía o Ejército.;0;1;;;
la secretaria se cayó con el jefe de personal;caerse;perder la estima de alguien a causa de un comportamiento supuestamente indebido;enamorarse;desarrollar sentimientos románticos por alguien;0;1;;;
Nué que yo te té sacariñando la jaltiña eta.;sacariñar;Echar en cara lo que se le ha dado a alguien.;echar en cara;Recordar repetidamente un favor o regalo para reprochar;1;1;;;
El pobre perro está como enfermo… Camina encangado y sin ánimos.;encangado;Referido a una persona o animal, que se mueve con dificultad.;desganado;sin energía ni ánimo para moverse con normalidad;1;1;;;
Con el primer sueldo Manuel nos invitó al potreraje en el restaurante.;potreraje;Invitación que realiza un trabajador recién contratado a sus compañeros de sus nuevas labores.;comilona;Comida abundante y festiva compartida en grupo.;0;1;;;
no lo querían por chúpame las cáscaras;chúpame las cáscaras;dicho de una persona, entrometido, adulador, chismoso;lambón;Persona servil que busca favores lisonjeando;1;1;;;
Usa el churrusco para lavar el biberón.;churrusco;Cepillo en forma de espiral con mango que se usa para lavar recipientes.;esponja;pieza absorbente para fregar y limpiar;0;1;;;
Entre su grupo de trabajo acordaron pedir ayuda en las redes para que el docto y jefe de turno no lo pillara en medio de la foqueada.;foqueada;Acto de dormir.;descanso;estado de sueño profundo o descanso prolongado;0;0;;;
pues, quién sabe si se dejan embobar de cualquier mugre;mugre;persona o cosa despreciable;cualquiera;persona despreciable o de baja calidad;0;0;;;
"en el otro lau del río/parió una yegua dos potros;/ por la jalta de una chisgua/no te traje los calostros";chisgua;mochila;cuerda;Cordón o soga para atar y transportar cargas;0;1;;;
Que hay unos candidatos respaldados por una “maquinaria” y otros que representan el voto de opinión es una forma de entender cada fenómeno electoral.;maquinaria;Sistema organizacional que tiene un partido político para salir favorecido en una elección.;aparato político;Organización partidista con recursos para movilizar votos.;1;1;;;
Yo podría llevar una vida de perfecto cusumbosolo, encerrado en la casa, sin ver a nadie, y con puros contactos virtuales: correos, llamadas por Skype, chats eróticos, Twitter, ese mundo irreal.;cusumbosolo;Referido a una persona, huraña, que prefiere vivir alejada de la gente, sin compañía.;ermitaño social;persona que vive aislada y evita la vida social;1;1;;;
Soy muy desordenado y a mi esposa le daba un yeyo cada que encontraba desorden en la casa.;yeyo;Enfado intenso pero pasajero, rabieta.;rabieta;arrebato de enojo o disgusto repentino;1;1;;;
Esto sienta un precedente para que quienes se sienten en total libertad para robar y corromper perciban que hay autoridades que les pueden respirar en la nuca.;nuca;Vigilar muy de cerca a alguien.;la espalda;proximidad constante que permite vigilar o presionar a alguien;1;1;;;
Lo más curioso es que este manjar dulce es producto de la fermentación. Y no de cualquier tipo de papa. Tiene que ser pequeñita, el riche.;riche;Papa pequeña.;pequeñita;Papa de tamaño muy pequeño.;1;0;;;
La reforma política hizo que se alborotara el avispero en el senado, pues los representantes de varios partidos estaban en contra de ella.;avispero;Situación tensa que desata un conflicto.;polvareda;confusión y agitación pública que provoca discusión y tensiones;0;1;;;
El temblador, para pescar los peces medianos, se arrima á ellos de paso, los atonta, y se los traga á su gusto.;temblador;Pez de agua dulce, de hasta 2,5 m de longitud, cuerpo cilíndrico sin escama y de color café obscuro o negro y con organos especiales para producir descargas eléctricas bastante intensas.;pez eléctrico;pez que atonta con descargas y luego se lo traga;1;1;;;
lo arepiaron por haber llegado tarde;arepear;dar palmadas a alguien, imitando la forma de apelmazar la masa del maíz;castigar;Imponer un castigo físico o reprender severamente;0;1;;;
Se las da de aletoso y ni siquiera sabe pelear.;aletoso;Referido a una persona, conflictiva, que provoca discusiones o peleas.;pendenciero;Persona inclinada a buscar peleas y crear alboroto.;1;1;;;
El pescador / Habla con la luna /El pescador / Habla con la playa /El pescador /No tiene fortuna / Sólo su atarraya (bis).;atarraya;Red de pesca que tiene forma redonda y se usa en los ríos y parajes de poco fondo.;red de pesca;Red redonda lanzada para capturar peces desde la orilla.;1;1;;;
Los santos alabados reflejan tristeza, despedidas, perdón, dolor por el amigo, padre, hijo o, en general, por algún familiar que murió.;alabado;Canto de alabanza ofrendado a Dios, a los santos y como homenaje en un funeral de un adulto, especialmente durante el velorio y en la última noche de la novena.;funerario;Relacionado con ritos y símbolos de duelo por la muerte.;0;1;;;
Para disminuir la llenura, los expertos aconsejan comer a la misma hora y disminuir el consumo de grasas y de otros alimentos.;llenura;Sensación de dificultad en la digestión por haber comido en exceso.;sensación de llenura;molestia por digestión pesada después de comer;0;1;;;
¡No me abra esos motes que parece sapo en tomatera!;motes;Ojos de una persona.;ojos;órganos de la vista abiertos de forma exagerada;1;0;;;
La película mejicana “Cuando los hijos se van”, hacía llorar a casi todas las señoras y 'chocolear' a más de un varón.;chocolear;Entristecerse y lloriquear.;lloriquear;Llorar quedito con el pecho temblando sin soltar lágrimas.;1;1;;;
No quiero almorzar hoy papas chorreadas, mejor hagamos un naco.;naco;Puré de papa.;puré de papas;Mezcla cremosa y homogénea de papa cocida machacada.;1;1;;;
¡Cierra el pico tú, bocón que las paredes oyen!;bocón, a;Referido a una persona, indiscreta, chismosa.;chismoso;Persona que habla de más e indiscretamente.;1;1;;;
Tampoco hay que olvidar a la arpía de su madre. Vieja infeliz. Sabe que su hijo está como está y sólo por no verme deja todo el lío a mi cargo.;infeliz;Referido a una persona, perversa, de malos sentimientos.;despreciable;Persona indigna y merecedora de desprecio.;0;1;;;
Hablé con el mulato que ayudaba en la cocina, un primo suyo tiene acceso a un bote con motor peque que puede atracar muy cerca del hotel.;peque;Motor fuera de borda, pequeño y de poca potencia.;pequeño;De tamaño reducido.;0;1;;;
Necesito dos cupos en el colegio para mi hijo y mi sobrino.;cupo;Espacio o plaza que se encuentra disponible.;vacantes;puestos disponibles para matricular a estudiantes;1;1;;;
Quítate esos chagualos que te ves mal presentado.;chagualo;Zapato viejo y desgastado;zapatos viejos;Calzado en mal estado o muy desgastado;1;1;;;
Lo que sí digo es que me pusieron a aullar con la cargada de ese armamento en la madrugada.;aullar;En el ejército, padecer una situación lamentable de la que otros pueden burlarse.;quejarme;Emitir protestas o reclamos por una situación molesta;1;1;;;
Todas estas historias de inseguridad y muchas otras más se cuentan a diario en cada uno de los rincones de una ciudad que ha preferido empanicarse antes que reaccionar.;empanicarse;Perder la capacidad de acción por el pánico o el temor.;entrar en pánico;entrar en un estado de miedo colectivo y paralizante;1;1;;;
qué caraza la de este sujeto;caraza;desvergüenza;care monda;cara despectiva o de mal genio;0;1;;;
Eso me parece igual a comenzar a una medicación contra la diarrea viral que nos asola, estando perfectamente sanos y con un movimiento intestinal normal, ‘porsiaca’.;porsiaca;Precaución, prevención.;por si acaso;en previsión de una contingencia o imprevisto;1;1;;;
Los balcones con matas de geranio y otras plantas, adornan el edificio.;mata;Planta, excepto árboles grandes.;plantas;Conjunto de seres vegetales que crecen en macetas o en la tierra;1;1;;;
Berenjena, maíz, rábano, maíz, plátano, yuca, fríjol, hortalizas, frutales, entre otros cultivos de pancoger, se desarrollan en los patios productivos.;pancoger;Cultivo de subsistencia que busca satisfacer las necesidades alimenticias propias de una comunidad.;cultivos para autoconsumo;Plantaciones destinadas a abastecer la alimentación de la propia familia;1;1;;;
Tuvieron que cambiar de vía, más rápida, con más curvas y como estaba trasnochado, se rebotó.;rebotar;Sentir ganas de vomitar.;despistarse;Perder la concentración o la atención en la situación;0;1;;;
Dicen los abuelos que si se está de mal humor o se lo prepara de mala gana, el ajiaco queda aguado, se agria o se corta.;aguado;Referido a una sustancia, especialmente un alimento, con más agua o líquido del que debería tener y por tanto insípida.;insípido;Falta de sabor o fuerza en la comida por mala preparación;0;1;;;
Finalmente, luego de tantos años, Juan y Marina se contentaron y hablaron tranquilamente.;contentar;Hacer las paces dos personas, luego de una pelea o disgusto.;reconciliarse;Restablecer una relación amistosa tras desacuerdo.;1;1;;;
Se tupió en la oficina por estar peleando con uno de sus socios.;tupirse;Quedarse momentáneamente paralizado o incapacitado por causa de un enojo.;perder el control;entrar en un estado de alteración emocional que impide actuar con calma;0;1;;;
Ella fue una tesa, ganó con Colombia las medallas de plata en los Juegos Centroamericanos.;teso;Referido a una persona, que es muy hábil o notable en un oficio o labor.;valiente;Persona con gran coraje y determinación ante desafíos.;0;1;;;
Genio y figura hasta la sepultura, pero así se hacía querer de quienes lo conocíamos pues, además de ser tan simpático y entrador, era un devoto a servir a los demás.;entrador;Referido a una persona, que cae bien a los demás y logra fácilmente relacionarse con ellos.;cálido;Persona amable y que pone fácil la confianza con los demás;1;1;;;
¿Qué pasa con los contratistas? ¿Son estos solos, los responsables del despelote?;despelote;Desorganización de una entidad o de alguien.;desorden;situación caótica y confusa con falta de organización;1;1;;;
La élite aceptó la cerveza ya que encontró en ella el elemento que hacía falta para romper con la tradición chichera.;chichero;Relativo a la chicha.;de chicha;Relacionado con la bebida alcohólica de maíz fermentado.;1;1;;;
En las ciudades, el serrucho lo camuflan en campaña con propuestas populistas y de a poquitos desangra el Estado.;serrucho;Beneficio que se obtiene de manera ilícita al dividir las ganancias de un negocio entre dos o más personas.;malversación;Apropiación ilícita y paulatina de fondos públicos;1;1;;;
Es un jugador mediocre que necesita demasiado acompañamiento y casi nos lo enflautan por tercera vez.;enflautar;Asignar a alguien una labor o responsabilidad desagradable o inoportuna.;endilgar;Decir algo inoportuno o molesto a alguien.;0;1;;;
La dirección hidráulica es uno de los avances tecnológicos más importantes que han ocurrido en la historia automotriz.;dirección;En un vehículo, dirección que facilita el movimiento del timón debido al mecanismo de aire comprimido.;sistema de dirección;Mecanismo para girar las ruedas del vehículo con fluido hidráulico.;1;1;;;
Solamente un soroco trunca el desarrollo del departamento, con la anulación de los proyectos que ya se habían aprobado para iniciar las obras de la autopista.;soroco;Referido a una persona, tonta, torpe.;idiota;Persona tonta, estúpida o inútil que actúa de forma torpe.;1;1;;;
Un buen estanque para producir bocachico debe tener una profundidad máxima de 1,5 metros.;bocachico;Pez migratorio de agua dulce, originario de las cuencas del Magdalena, Orinoco y Amazonas, tiene boca pequeña y es comestible.;pez bocachico;especie de pez de agua dulce usada en crianza;1;1;;;
cuando llegamos estaban apuntalando;apuntalar;e . tomar un refrigerio o licor;comer un refrigerio;Ingerir alimento ligero para calmar el hambre temporalmente;1;1;;;
Y yo una batola de chifón negro con vidrios y canutillos para verme como la negra noche que en la mar se enluta.;batola;Prenda de vestir femenina de una sola pieza, larga y sin botones.;manto negro;Prenda holgada larga de chifón negro adornada con vidrios y canutillos.;0;0;;;
Y aquí se reinventó la comida rápida: perros con piña, con papitas, con chorizo y, por esa misma vía, apareció la arepa trifásica.;trifásico;Referido a la comida, que utiliza tres tipos de carne en su preparación.;con tres ingredientes;arepa rellena con tres tipos de carnes o sabores.;0;0;;;
Esta es la primera vez que voy a pichonear. En un futuro podré ser un carguero.;pichonear;Sacar de la iglesia las imágenes de las procesiones en la Semana Santa, en calidad de ayudante y no de carguero.;ayudar a sacar el paso;Asistir inicialmente en mover la anda procesional antes de los cargueros expertos.;0;0;;;
Además de ser pura adrenalina, el vuelo de canopy que vas a encontrar en el ecoparque es también uno de los más seguros en el país.;canopy;Deporte y pasatiempo ecológico que consiste en atravesar cañones y corrientes de agua, colgando de un cable de acero sujeto de dos árboles o de estructuras metálicas a lado y lado del paso.;tirolina;Deslizamiento en cable entre plataformas elevadas.;1;1;;;
Lo que inicialmente se planteó como una refacción, terminó siendo una obra de reconstrucción general que estoy seguro le gustará a la comunidad.;refacción;Arreglo o restauración que se le hace a algún objeto o construcción.;reparación;Acción de arreglar o restaurar algo dañado o deteriorado.;1;1;;;
nuestro vecino es pinta;ser pinta;tener buena presencia, ser elegante;ser guapo;hombre atractivo físicamente;1;1;;;
Vestida con el tradicional anaco negro de los guambianos, cuenta María que el espacio nació de la terquedad de los profesores del resguardo.;anaco;Falda hecha de tela de una sola pieza, abierta al lado y ceñida a la cintura por una faja.;falda;Prenda rectangular que las mujeres indígenas ciñen a la cintura.;1;1;;;
no le digo que es azogado? parece un lagarto, una ardilla, un muñeco de caucho;azogado;dicho de una persona, muy inquieta;inquieto;persona extremadamente activa e hiperactiva;1;1;;;
Está insoportable este arremuesco, le gritó la mamá.;arremuesco;Persona, especialmente un niño, que molesta mucho.;niño insoportable;Niño molesto que irrita con su comportamiento.;1;1;;;
