Modismo;Definición Sonar;Definiciones Reales;Acorde;;
chuspa;Bolsa de plástico o de cualquier tipo utilizada para cargar objetos, común en el Valle del Cauca, especialmente en Cali.;bolsa que se emplea para empacar algo como el mercado | cartuchera | Bolsa de plástico u otro material que se usa para llevar o guardar cosas.;1;;
dengue;Persona excesivamente melindrosa o afectada en sus delicadezas y escrúpulos.;contoneo, movimientos de hombros y cadera al caminar | Enfermedad infecciosa producida por la picadura de un zancudo, con síntomas como fiebre alta, dolor de cuerpo y decaimiento general.;0;;
busaca;Bolsa o talega usada para transportar o guardar objetos, especialmente en contextos rurales o informales.;tronera de la mesa de billar | bolsa, talega;1;;
libreta;Cuaderno o libreta de apuntes usada para copiar las calificaciones escolares.;Cuaderno pequeño que contiene el resultado de las evaluaciones hechas a un estudiante durante un determinado periodo escolar. | Documento oficial en el que se certifica que un hombre adulto tiene definida su situación militar.;1;;
chinchurria;Intestino delgado de res o cerdo que se cocina a la brasa.;Plato elaborado con una parte del intestino delgado de la res, el cerdo o el cordero, que se come frita o asada.;1;;
candelilla;Hongos entre los dedos de los pies con ardor, conocida como micosis.;Nombre de varios tipos de escarabajo volador, de diferentes características según la especie, pero siempre de cuerpo oblongo de hasta 3 cm de longitud, color café claro y con un par de manchas luminiscentes en el tórax o el abdomen. | luciérnaga;0;;
argollero;Persona que sin miramientos procura obtener ventaja en tratos o asuntos.;engañador, que trata de sacar ventaja;1;;
goterero;Persona que se aprovecha de otros para tomar bebidas o consumir sin pagar, buscando que los demás costeen su gasto.;Persona que se aprovecha de las circunstancias para hacerse invitar a tomar bebidas alcohólicas. | dicho de una persona, que tiene por costumbre tomar licor a costa de otros;1;;
batea;Recipiente generalmente de madera utilizado para lavar ropa o fruta en Colombia.;recipiente, generalmente de madera, que se usa para lavar o mezclar y conservar alimentos y materiales para construcción | Canal de concreto de poca profundidad que se hace a un lado de la carretera para que el agua corra y no dañe el pavimento. | Recipiente de madera o metálico que se usa para lavar arena, separar el oro. | Recipiente de madera u otro material que se usa para lavar, amasar o contener alimentos.;1;;
arenga;Discurso breve, enérgico y persuasivo dirigido a motivar o incitar a un grupo a la acción.;Pez de agua dulce de hasta 80 cm. de longitud, cuerpo alargado, de color amarillo y de carne comestible.;0;;
hondo;Expresión coloquial usada en Colombia para indicar que algo impacta emocionalmente, deja una impresión profunda o duele en el ánimo.;Tener consecuencias graves algo que se hace.;0;;
cuerda;Animar o alentar a alguien para que haga algo que desea o le gusta.;Secundar a alguien en un propósito, aunque no se esté de acuerdo.;1;;
chenga;Persona astuta, ladina o vivaz que aprovecha situaciones a su favor.;pedrezuela labrada por los indios caribes y horadada en un extremo para ensartarla y formar collares;0;;
agua;Término usado en Colombia para llamar la atención o advertir a alguien sobre peligro o precaución inmediata.;Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables. | Bebida que se prepara con panela que se hierve en agua a manera de cocción. | Época del año con disminución de lluvias y descenso del nivel de los ríos y las lagunas hasta su mínimo caudal. | Las que tienen una coloración amarillenta, apariencia barrosa, ricas en arcillas y nutrientes y que generalmente nacen en los Andes. | Las que tienen un aspecto translúcido, de color amarillo verdoso y que nacen generalmente en áreas planas y muy pobladas de vegetación. | Poner a una persona en evidencia o enfrentarla repentinamente a una situación inesperada. | Preparar más comida de lo usual por si llegan más personas de las previstas. | Las que tienen una coloración café obscuro, poco sedimento, son pobres en nutrientes y que generalmente nacen en la Amazonía o la Orinoquía. | Fiesta que se hace en horas de la tarde y en la que no se ingieren licores. | Bebida que se elabora mediante la infusión de hierbas aromáticas o digestivas en agua caliente. | Ser de carácter poco firme e indeciso.;0;;
bata;Prenda holgada usada en casa para cubrir el cuerpo, generalmente al levantarse, después del baño o para dormir.;Salir a divertirse. | Prenda de vestir, generalmente hecha en tela de toalla, que se usa para cubrir el cuerpo después de bañarse.;1;;
jurungo;Gran cantidad o montón de algo.;idioma extraño | extranjero | gitano;0;;
frailejón;Planta endémica de los páramos andinos colombianos, símbolo de resistencia y protectora espiritual del agua.;Planta de hasta 2 m de altura, de tallo grueso y lanoso, con hojas grandes y aterciopeladas, y flores de color amarillo que tienen una aplicación en la medicina tradicional.;1;;
banderearse;Exhibirse o mostrarse para llamar la atención.;mostrarse, exhibirse;1;;
boroló;Situación de agitación causada por un problema o acontecimiento anormal.;desorden, barullo;0;;
rila;Excremento de gallinas u otras aves de corral, y por extensión carne blanca y fibrosa o de baja calidad en el uso coloquial colombiano.;Parte blanca y fibrosa de la carne de res. | carne blanca y fibrosa de res vacuna;0;;
murrapo;Banano pequeño y muy dulce común en Colombia, especialmente en Antioquia.;Persona que es gorda y de baja estatura. | Variedad de plátano pequeña y dulce.;1;;
boquiflojo;Persona chismosa que murmura y difunde rumores.;Referido a una persona, que crea y difunde chismes o rumores.;1;;
cagón;Persona cobarde o con mucho miedo que evita afrontar situaciones difíciles.;niño de muy corta edad | Niño pequeño.;0;;
jojoro;Voz coloquial usada en algunas regiones de Colombia para expresar fastidio leve o burla hacia algo o alguien.;podrido, esponjoso, sin sustancia;0;;
pucho;Resto pequeño de cigarrillo que queda al final después de fumar, o cantidad muy pequeña o residual de algo.;Cigarrillo pequeño hecho de hoja de marihuana. | Cigarrillo o tabaco. | Cantidad pequeña de algo. | pequeña cantidad de algo | chato, persona de nariz corta | colilla del cigarrillo | restos que quedan de algo;1;;
averigüetas;Persona entrometida.;Referido a una persona, que suele fisgonear la vida de otros. | entrometido, fisgón;1;;
arriado;Persona perezosa o lenta para el trabajo.;Referido a una persona, que no cuenta con recursos económicos.;0;;
tusada;Fiesta o reunión social.;Corte de pelo mal hecho y a ras de la cabeza.;0;;
putear;Insultar o agraviar a otra persona mediante palabrotas, reproches o ataques verbales, a menudo con tono hostil o agresivo.;insultar a alguien con palabras soeces;1;;
genuino;Persona o cosa auténtica, sincera y sin afectación, que muestra cualidades o sentimientos verdaderos.;Aguardiente casero de caña de azúcar sin refinar.;0;;
embarcarse;Involucrarse en una conversación, actividad o relación.;subir a un vehículo | involucrarse en una situación, negocio, empresa, etc;1;;
pogo;Algarabía y bullicio que los espectadores generan al ritmo de la música desde cerca del escenario en conciertos de rock.;Reunión de un grupo de personas que asisten a poguear.;1;;
estar en pinta;Pasar el tiempo fuera de casa sin obligaciones formales, generalmente holgazaneando o haciendo novillos.;estar casi borracho;0;;
parque;Lugar público al aire libre con áreas verdes, senderos y mobiliario destinado al esparcimiento y recreación comunitaria.;Conjunto de atracciones mecánicas y juegos de entretenimiento en un establecimiento, generalmente al aire libre. | Conjunto de empresas industriales ubicadas en una ciudad o un departamento. | Conjunto de vehículos destinados al transporte público.;1;;
sute;En Colombia, especialmente en Boyacá, designa al cerdito más pequeño de la camada o, por extensión, al niño pequeño o menor de la familia.;Hijo menor. | Niño flaco y desnutrido. | Referido a una persona, de poca estatura.;1;;
boleta;Persona extravagante que con sus actitudes o vestimenta queda en ridículo.;ostentoso, indiscreto | Documento que permite ingresar a un lugar, especialmente a un evento o espectáculo. | Especie de papeleta con números que se adquiere para participar en un sorteo o rifa. | Referido a una persona u objeto, ordinario o de apariencia desagradable.;1;;
apaleado;Persona que llega agotada y adolorida físicamente por haber recibido golpes o un trato muy duro.;Referido a una persona, cansada o agotada.;1;;
alimentador;Autobús de servicio público que circula en ruta circular y recoge pasajeros gratuitamente en algunas regiones de Colombia.;Bus del sistema de transporte público que tiene una ruta circular, en el que se recogen o dejan pasajeros en paraderos autorizados hasta una estación principal donde se debe cancelar el pasaje para acceder al servicio por las troncales de la ciudad.;1;;
salidera;Salida reiterada y sin propósito de algún sitio.;Salida reiterada y frecuente de un lugar.;1;;
derramarse;Eyacular alguien.;eyacular;1;;
andonear;Desplazarse sin rumbo fijo o andar de un lugar a otro sin dirección determinada, aplicado tanto a personas como en sentido metafórico a animales de montura.;andareguear, ir de un lugar a otro sin dirección determinada;1;;
